variable,value
"po[FRS-a,ROW]",0.9999999712619625
"po[COA-a,ROW]",1.0000000029380052
"po[OIL-a,ROW]",1.0000000074320694
"po[GAS-a,ROW]",1.0000000033080891
"po[OXT-a,ROW]",1.0000000640571707
"po[EIT-a,ROW]",1.0000000039788404
"po[XMN-a,ROW]",1.0000000045783708
"po[P_C-a,ROW]",1.0000000031363827
"po[ETD-a,ROW]",1.0000000021254842
"po[CLP-a,ROW]",1.0000000021254842
"po[OLP-a,ROW]",1.0000000021254842
"po[GSP-a,ROW]",1.0000000021254842
"po[NUC-a,ROW]",1.0000000021254842
"po[HYD-a,ROW]",1.0000000021254842
"po[SOL-a,ROW]",1.0000000021254842
"po[WND-a,ROW]",1.0000000021254842
"po[XEL-a,ROW]",1.0000000021254842
"po[SRV-a,ROW]",1.0000000025070406
"qfa[FRS,AGR-a,CHN]",1.0000000103610511
"qfa[COA,AGR-a,CHN]",1.0000000103610511
"qfa[OIL,AGR-a,CHN]",0.0
"qfa[GAS,AGR-a,CHN]",1.0000000103610511
"qfa[P_C,AGR-a,CHN]",1.0000000103610511
"qfa[AGR,AGR-a,CHN]",1.0000000103610511
"qfa[OXT,AGR-a,CHN]",1.0000000103610511
"qfa[EIT,AGR-a,CHN]",1.0000000103610511
"qfa[XMN,AGR-a,CHN]",1.0000000103610511
"qfa[SRV,AGR-a,CHN]",1.0000000103610511
"qfa[ELY,AGR-a,CHN]",1.0000000103610511
"qfa[FRS,FRS-a,CHN]",0.9999999923700523
"qfa[COA,FRS-a,CHN]",0.9999999923700523
"qfa[OIL,FRS-a,CHN]",0.0
"qfa[GAS,FRS-a,CHN]",0.9999999923700523
"qfa[P_C,FRS-a,CHN]",0.9999999923700523
"qfa[AGR,FRS-a,CHN]",0.9999999923700523
"qfa[OXT,FRS-a,CHN]",0.9999999923700523
"qfa[EIT,FRS-a,CHN]",0.9999999923700523
"qfa[XMN,FRS-a,CHN]",0.9999999923700523
"qfa[SRV,FRS-a,CHN]",0.9999999923700523
"qfa[ELY,FRS-a,CHN]",0.9999999923700523
"qfa[FRS,COA-a,CHN]",1.0000000002397367
"qfa[COA,COA-a,CHN]",1.0000000002397367
"qfa[OIL,COA-a,CHN]",0.0
